accession	serotype	segment	Organism_Name	Host	Collection_Date
OF04584KB8S.1	P6	VP4	"OF04584KB8S.1 |P6-RVA/Human-wt/BGD/N26/2002/G12P6 segment VP4, complete sequence"		
C4GS1H82JZP.1	P6	VP4	"C4GS1H82JZP.1 |P6-RVA/Human-wt/BGD/RV176/2000/G12P6 segment VP4, complete sequence"		
JDJ2N6SYJ19.1	P6	VP4	"JDJ2N6SYJ19.1 |P6-RVA/Human-wt/BGD/RV161/2000/G12P6 segment VP4, complete sequence"		
DEBRZ02EXXC.1	P6	VP4	"DEBRZ02EXXC.1 |P6-RVA/Human-tc/GBR/ST3/1975/G4P6 segment VP4, complete sequence"		
N8TAMX5WV21.1	P6	VP4	"N8TAMX5WV21.1 |P6-RVA/Human-wt/BEL/B1711/2002/G6P6 segment VP4, complete sequence"		
OGC05AN351B.1	P6	VP4	"OGC05AN351B.1 |P6-RVA/Human-wt/COD/DRC86/2003/G8P6 segment VP4, complete sequence"		
9TU0RK0YXD8.1	P6	VP4	"9TU0RK0YXD8.1 |P6-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment VP4, complete sequence"		
F5F1NA7NWNM.1	P7	VP4	"F5F1NA7NWNM.1 |P7-RVA/Pig-tc/USA/OSU/1977/G5P7 segment VP4, complete sequence"		
27JC770YMH2.1	P7	VP4	"27JC770YMH2.1 |P7-RVA/Pig-tc/VEN/A253/1988/G11P7 segment VP4, complete sequence"		
DJFTY31SANA.1	P7	VP4	"DJFTY31SANA.1 |P7-RVA/Pig-tc/MEX/YM/1983/G11P7 segment VP4, complete sequence"		
64Z3KFDV6DW.1	P7	VP4	"64Z3KFDV6DW.1 |P7-RVA/Pig-tc/VEN/A131/1988/G3P7 segment VP4, complete sequence"		
3PMB9N75WWL.1	P8	VP4	"3PMB9N75WWL.1 |P8-RVA/Human-wt/COD/DRC88/2003/G8P8 segment VP4, complete sequence"		
17VTJJYBQ84.1	P8	VP4	"17VTJJYBQ84.1 |P8-RVA/Human-wt/BEL/B4633/2003/G12P8 segment VP4, complete sequence"		
7BUH96QU7VD.1	P8	VP4	"7BUH96QU7VD.1 |P8-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment VP4, complete sequence"		
ZWE5E4ZVH19.1	P8	VP4	"ZWE5E4ZVH19.1 |P8-RVA/Human-tc/USA/WI61/1983/G9P8 segment VP4, complete sequence"		
AZFNPASL545.1	P8	VP4	"AZFNPASL545.1 |P8-RVA/Human-wt/BEL/B3458/2003/G9P8 segment VP4, complete sequence"		
3Q0TXAO6GNS.1	P8	VP4	"3Q0TXAO6GNS.1 |P8-RVA/Human-tc/USA/Wa/1974/G1P8 segment VP4, complete sequence"		
BD2EGNSIS6B.1	P8	VP4	"BD2EGNSIS6B.1 |P8-RVA/Human-tc/JPN/KU/1974/G1P8 segment VP4, complete sequence"		
XZIV68B8RO1.1	P8	VP4	"XZIV68B8RO1.1 |P8-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment VP4, complete sequence"		
50H1QQN7AWG.1	P8	VP4	"50H1QQN7AWG.1 |P8-RVA/Human-tc/USA/D/1974/G1P8 segment VP4, complete sequence"		
2TPM31ZORRP.1	P8	VP4	"2TPM31ZORRP.1 |P8-RVA/Human-tc/USA/P/1974/G3P8 segment VP4, complete sequence"		
9CLUGUOZIE2.1	P8	VP4	"9CLUGUOZIE2.1 |P8-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment VP4, complete sequence"		
VA2X50KMFME.1	P9	VP4	"VA2X50KMFME.1 |P9-RVA/Human-tc/USA/Se584/1998/G6P9 segment VP4, complete sequence"		
RSP3MCSCX4C.1	P9	VP4	"RSP3MCSCX4C.1 |P9-RVA/Human-tc/THA/T152/1998/G12P9 segment VP4, complete sequence"		
B0YKGITK39X.1	P9	VP4	"B0YKGITK39X.1 |P9-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment VP4, complete sequence"		
8Q926Q438OA.1	P10	VP4	"8Q926Q438OA.1 |P10-RVA/Human-tc/IND/69M/1980/G8P10 segment VP4, complete sequence"		
CDXIAY8MDU9.1	P11	VP4	"CDXIAY8MDU9.1 |P11-RVA/Human-tc/IND/116E/1985/G9P11 segment VP4, complete sequence"		
GD1N7B8RZE7.1	P11	VP4	"GD1N7B8RZE7.1 |P11-RVA/Human-tc/IND/I321/XXXX/G10P11 segment VP4, complete sequence"		
5YC8DO2PBRQ.1	P12	VP4	"5YC8DO2PBRQ.1 |P12-RVA/Horse-tc/USA/FI-14/1981/G3P12 segment VP4, complete sequence"		
GTQ6ANB0NOZ.1	P12	VP4	"GTQ6ANB0NOZ.1 |P12-RVA/Horse-tc/GBR/H-2/1976/G3P12 segment VP4, complete sequence"		
MXZDW3V35X1.1	P13	VP4	"MXZDW3V35X1.1 |P13-RVA/Pig-tc/AUS/MDR-13/XXXX/G3P13 segment VP4, complete sequence"		
KZKXVUIV32I.1	P13	VP4	"KZKXVUIV32I.1 |P13-RVA/Pig-tc/XXX/A46/XXX/G5P13 segment VP4, complete sequence"		
JTYCNZNVZM6.1	P14	VP4	"JTYCNZNVZM6.1 |P14-RVA/Human-wt/BEL/B4106/2000/G3P14 segment VP4, complete sequence"		
AA4COFIGV1L.1	P14	VP4	"AA4COFIGV1L.1 |P14-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment VP4, complete sequence"		
XPUJHWOMU9X.1	P14	VP4	"XPUJHWOMU9X.1 |P14-RVA/Human-tc/AUS/MG6/1993/G6P14 segment VP4, complete sequence"		
0GDSWGFZ2C3.1	P14	VP4	"0GDSWGFZ2C3.1 |P14-RVA/Human-tc/ITA/PA169/1988/G6P14 segment VP4, complete sequence"		
7C3GZ64BNG7.1	P14	VP4	"7C3GZ64BNG7.1 |P14-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment VP4, complete sequence"		
NMH9SP2CK0T.1	P14	VP4	"NMH9SP2CK0T.1 |P14-RVA/Human-wt/BEL/B10925/1997/G6P14 segment VP4, complete sequence"		
GJTV6AIT0UM.1	P14	VP4	"GJTV6AIT0UM.1 |P14-RVA/Human-tc/GBR/A64/1987/G10P14 segment VP4, complete sequence"		
BJ7T227UGQX.1	P14	VP4	"BJ7T227UGQX.1 |P14-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment VP4, complete sequence"		
A6445N8STI6.1	P14	VP4	"A6445N8STI6.1 |P14-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment VP4, complete sequence"		
MB9BEZH578A.1	P14	VP4	"MB9BEZH578A.1 |P14-RVA/Human-wt/HUN/BP1062/2004/G8P14 segment VP4, complete sequence"		
B8TRD8SZPEO.1	P14	VP4	"B8TRD8SZPEO.1 |P14-RVA/Human-wt/HUN/BP1879/2003/G6P14 segment VP4, complete sequence"		
0PRGFNOQ469.1	P15	VP4	"0PRGFNOQ469.1 |P15-RVA/Sheep-tc/XXX/Lp14/XXXX/G10P15 segment VP4, complete sequence"		
95WNY5IWPXU.1	P16	VP4	"95WNY5IWPXU.1 |P16-RVA/Mouse-tc/USA/EW/XXXX/G16P16 segment VP4, complete sequence"		
76Y09ZDZSWF.1	P16	VP4	"76Y09ZDZSWF.1 |P16-RVA/Mouse-tc/XXX/EMcN/XXXX/G16P16 segment VP4, complete sequence"		
4XGJGUBK4TZ.1	P17	VP4	"4XGJGUBK4TZ.1 |P17-993-83 segment VP4, complete sequence"		
5HCUC7HA9N7.1	P17	VP4	"5HCUC7HA9N7.1 |P17-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment VP4, complete sequence"		
2DBOB2FWGH2.1	P18	VP4	"2DBOB2FWGH2.1 |P18-RVA/Horse-tc/GBR/L338/1991/G13P18 segment VP4, complete sequence"		
92B00DXPLKA.1	P19	VP4	"92B00DXPLKA.1 |P19-RVA/Human-tc/THA/Mc323/1989/G9P19 segment VP4, complete sequence"		
O9K6YGK21U6.1	P19	VP4	"O9K6YGK21U6.1 |P19-RVA/Human-wt/IND/RMC321/1990/G9P19 segment VP4, complete sequence"		
UD9ZTJM2QJS.1	P20	VP4	"UD9ZTJM2QJS.1 |P20-RVA/Mouse-tc/XXX/EHP/1981/G16P20 segment VP4, complete sequence"		
YLQ5UV3NX43.1	P21	VP4	"YLQ5UV3NX43.1 |P21-RVA/Cow-tc/IND/Hg18/1995/G15P21 segment VP4, complete sequence"		
OSU6FFUMD8P.1	P22	VP4	"OSU6FFUMD8P.1 |P22-RVA/Rabbit-wt/ITA/160-01/2001/G3P22 segment VP4, complete sequence"		
CCK2DGM8VBY.1	P23	VP4	"CCK2DGM8VBY.1 |P23-RVA/Pig-tc/VEN/A34/1985/G5P23 segment VP4, complete sequence"		
WBRF8VYSSH1.1	P24	VP4	"WBRF8VYSSH1.1 |P24-RVA/Rhesus-tc/USA/TUCH/2002/G3P24 segment VP4, complete sequence"		
K9J1O9HDQXX.1	P25	VP4	"K9J1O9HDQXX.1 |P25-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment VP4, complete sequence"		
NSQNSBQ9C0Z.1	P25	VP4	"NSQNSBQ9C0Z.1 |P25-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment VP4, complete sequence"		
U6OWESB46BD.1	P26	VP4	"U6OWESB46BD.1 |P26-RVA/Pig-wt/ITA/134-04-15/2003/G5P26 segment VP4, complete sequence"		
9KGXLWR7Y43.1	P27	VP4	"9KGXLWR7Y43.1 |P27-RVA/Pig-wt/THA/CMP034/2000/G2P27 segment VP4, complete sequence"		
N6E806TB0F7.1	P27	VP4	"N6E806TB0F7.1 |P27-RVA/Pig-wt/ITA/344-04-1/2004/G5P27 segment VP4, complete sequence"		
X6OUAO0FH83.1	P28	VP4	"X6OUAO0FH83.1 |P28-RVA/Human-wt/ECU/Ecu534/2006/G20P28 segment VP4, complete sequence"		
MF580854.1	P8	VP4	"MF580854.1 |Human rotavirus A isolate Hu/JS2010 segment 4, complete sequence"		
MF580860.1	P8	VP4	"MF580860.1 |Human rotavirus A isolate Hu/JS2011 segment 4, complete sequence"		
MF580855.1	P8	VP4	"MF580855.1 |Human rotavirus A isolate Hu/JS2012 segment 4, complete sequence"		
MF580856.1	P8	VP4	"MF580856.1 |Human rotavirus A isolate Hu/JS2013 segment 4, complete sequence"		
MF580857.1	P8	VP4	"MF580857.1 |Human rotavirus A isolate Hu/JS2014 segment 4, complete sequence"		
MF580858.1	P8	VP4	"MF580858.1 |Human rotavirus A isolate Hu/JS2015 segment 4, complete sequence"		
MF580859.1	P8	VP4	"MF580859.1 |Human rotavirus A isolate Hu/JS2016 segment 4, complete sequence"		
JF766581.1	P8	VP4	"JF766581.1 |Human rotavirus A strain CAU05-202 segment 4, complete sequence"		
JF766592.1	P8	VP4	"JF766592.1 |Human rotavirus A strain CAU09-371 segment 4, complete sequence"		
JF766603.1	P8	VP4	"JF766603.1 |Human rotavirus A strain CAU09-376 segment 4, complete sequence"		
KJ187602.1	P9	VP4	"KJ187602.1 |Human rotavirus A strain CAU12-2-51 segment 4, complete sequence"		
KF447842.1	P6	VP4	"KF447842.1 |Human rotavirus A strain GX77 segment 4, complete sequence"		
KF447853.1	P6	VP4	"KF447853.1 |Human rotavirus A strain GX78 segment 4, complete sequence"		
KF447864.1	P6	VP4	"KF447864.1 |Human rotavirus A strain GX82 segment 4, complete sequence"		
KF371670.1	P8	VP4	"KF371670.1 |Human rotavirus A strain RVA/Human-tc/CHN/E566/2007/G3P8 segment 4, complete sequence"		
KF371680.1	P8	VP4	"KF371680.1 |Human rotavirus A strain RVA/Human-tc/CHN/L148/2004/G3P8 segment 4, complete sequence"		
KF371691.1	P8	VP4	"KF371691.1 |Human rotavirus A strain RVA/Human-tc/CHN/R709/2005/G3P8 segment 4, complete sequence"		
KF371701.1	P8	VP4	"KF371701.1 |Human rotavirus A strain RVA/Human-tc/CHN/Y111/2004/G3P8 segment 4, complete sequence"		
KF371711.1	P8	VP4	"KF371711.1 |Human rotavirus A strain RVA/Human-wt/CHN/31/2002/G3P8 segment 4, complete sequence"		
KF371722.1	P8	VP4	"KF371722.1 |Human rotavirus A strain RVA/Human-wt/CHN/723/2003/G3P8 segment 4, complete sequence"		
KF371733.1	P8	VP4	"KF371733.1 |Human rotavirus A strain RVA/Human-wt/CHN/A16/2000/G3P8 segment 4, complete sequence"		
KF371744.1	P8	VP4	"KF371744.1 |Human rotavirus A strain RVA/Human-wt/CHN/E093/2007/G3P8 segment 4, complete sequence"		
KF371788.1	P8	VP4	"KF371788.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1367/2008/G3P8 segment 4, complete sequence"		
KF371799.1	P8	VP4	"KF371799.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1857/2009/G3P8 segment 4, complete sequence"		
KF371810.1	P8	VP4	"KF371810.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1861/2009/G3P8 segment 4, complete sequence"		
KF371821.1	P8	VP4	"KF371821.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2000/2010/G3P8 segment 4, complete sequence"		
KF371832.1	P8	VP4	"KF371832.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2421/2010/G3P8 segment 4, complete sequence"		
KF371843.1	P8	VP4	"KF371843.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2422/2010/G3P8 segment 4, complete sequence"		
KF371854.1	P8	VP4	"KF371854.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2432/2010/G3P8 segment 4, complete sequence"		
KF371865.1	P8	VP4	"KF371865.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2461/2011/G3P8 segment 4, complete sequence"		
KF726045.1	P8	VP4	"KF726045.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2484/2011/G4P8 segment 4, complete sequence"		
KF371876.1	P8	VP4	"KF371876.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2835/2011/G3P8 segment 4, complete sequence"		
KF371887.1	P8	VP4	"KF371887.1 |Human rotavirus A strain RVA/Human-wt/CHN/E3239/2012/G3P8 segment 4, complete sequence"		
KF371755.1	P8	VP4	"KF371755.1 |Human rotavirus A strain RVA/Human-wt/CHN/E329/2007/G3P8 segment 4, complete sequence"		
KF371766.1	P8	VP4	"KF371766.1 |Human rotavirus A strain RVA/Human-wt/CHN/E707/2007/G3P8 segment 4, complete sequence"		
KF726034.1	P6	VP4	"KF726034.1 |Human rotavirus A strain RVA/Human-wt/CHN/E931/2008/G4P6 segment 4, complete sequence"		
KF371777.1	P8	VP4	"KF371777.1 |Human rotavirus A strain RVA/Human-wt/CHN/E956/2008/G3P8 segment 4, complete sequence"		
MW383981.1	P8	VP4	"MW383981.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-102/2018/G9P8 segment 4, complete sequence"		
MW383992.1	P8	VP4	"MW383992.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-107/2018/G9P8 segment 4, complete sequence"		
MW384003.1	P8	VP4	"MW384003.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-110/2018/G9P8 segment 4, complete sequence"		
MW384014.1	P8	VP4	"MW384014.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-113/2018/G9P8 segment 4, complete sequence"		
MW384025.1	P8	VP4	"MW384025.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-114/2018/G9P8 segment 4, complete sequence"		
MW384036.1	P8	VP4	"MW384036.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-115/2018/G9P8 segment 4, complete sequence"		
MW384047.1	P8	VP4	"MW384047.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-118/2018/G9P8 segment 4, complete sequence"		
MW384058.1	P8	VP4	"MW384058.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-120/2018/G9P8 segment 4, complete sequence"		
MW384069.1	P8	VP4	"MW384069.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-123/2018/G9P8 segment 4, complete sequence"		
MW384080.1	P8	VP4	"MW384080.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-130/2018/G9P8 segment 4, complete sequence"		
MW384091.1	P8	VP4	"MW384091.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-148/2018/G9P8 segment 4, complete sequence"		
MW384102.1	P8	VP4	"MW384102.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-151/2018/G9P8 segment 4, complete sequence"		
MW384113.1	P8	VP4	"MW384113.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-152/2018/G9P8 segment 4, complete sequence"		
MW384124.1	P8	VP4	"MW384124.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-194/2018/G1P8 segment 4, complete sequence"		
MW384135.1	P8	VP4	"MW384135.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-195/2018/G1P8 segment 4, complete sequence"		
MW384146.1	P8	VP4	"MW384146.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-216/2018/G1P8 segment 4, complete sequence"		
MW384157.1	P8	VP4	"MW384157.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-242/2018/G1P8 segment 4, complete sequence"		
MW384300.1	P8	VP4	"MW384300.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-262/2018/G1P8 segment 4, complete sequence"		
MW384168.1	P8	VP4	"MW384168.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-44/2018/G9P8 segment 4, complete sequence"		
MW384179.1	P8	VP4	"MW384179.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-56/2018/G9P8 segment 4, complete sequence"		
MW384190.1	P8	VP4	"MW384190.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-96/2018/G9P8 segment 4, complete sequence"		
MW384201.1	P8	VP4	"MW384201.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-97/2018/G9P8 segment 4, complete sequence"		
MW384212.1	P8	VP4	"MW384212.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-98/2018/G9P8 segment 4, complete sequence"		
MW384223.1	P8	VP4	"MW384223.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-108/2019/G9P8 segment 4, complete sequence"		
MW384234.1	P8	VP4	"MW384234.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-113/2019/G9P8 segment 4, complete sequence"		
MW384245.1	P8	VP4	"MW384245.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-145/2019/G9P8 segment 4, complete sequence"		
MW384256.1	P8	VP4	"MW384256.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-147/2019/G9P8 segment 4, complete sequence"		
MW384311.1	P8	VP4	"MW384311.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-35/2019/G9P8 segment 4, complete sequence"		
MW384322.1	P8	VP4	"MW384322.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-36/2019/G9P8 segment 4, complete sequence"		
MW384333.1	P8	VP4	"MW384333.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-38/2019/G9P8 segment 4, complete sequence"		
MW384344.1	P8	VP4	"MW384344.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-41/2019/G9P8 segment 4, complete sequence"		
MW384355.1	P8	VP4	"MW384355.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-44/2019/G9P8 segment 4, complete sequence"		
MW384366.1	P8	VP4	"MW384366.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-47/2019/G9P8 segment 4, complete sequence"		
MW384377.1	P8	VP4	"MW384377.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-50/2019/G9P8 segment 4, complete sequence"		
MW384388.1	P8	VP4	"MW384388.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-51/2019/G9P8 segment 4, complete sequence"		
MW384399.1	P8	VP4	"MW384399.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-55/2019/G9P8 segment 4, complete sequence"		
MW384410.1	P8	VP4	"MW384410.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-58/2019/G9P8 segment 4, complete sequence"		
MW384267.1	P8	VP4	"MW384267.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-71/2019/G9P8 segment 4, complete sequence"		
MW384278.1	P8	VP4	"MW384278.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-81/2019/G9P8 segment 4, complete sequence"		
MW384289.1	P8	VP4	"MW384289.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou19-84/2019/G9P8 segment 4, complete sequence"		
KF371918.1	P8	VP4	"KF371918.1 |Human rotavirus A strain RVA/Human-wt/CHN/L1066/2009/G3P8 segment 4, complete sequence"		
KF371951.1	P8	VP4	"KF371951.1 |Human rotavirus A strain RVA/Human-wt/CHN/L1450/2012/G3P8 segment 4, complete sequence"		
KF371940.1	P8	VP4	"KF371940.1 |Human rotavirus A strain RVA/Human-wt/CHN/L1621/2013/G3P8 segment 4, complete sequence"		
KF371898.1	P8	VP4	"KF371898.1 |Human rotavirus A strain RVA/Human-wt/CHN/L210/2005/G3P8 segment 4, complete sequence"		
KF371908.1	P8	VP4	"KF371908.1 |Human rotavirus A strain RVA/Human-wt/CHN/L478/2006/G3P8 segment 4, complete sequence"		
KF371962.1	P8	VP4	"KF371962.1 |Human rotavirus A strain RVA/Human-wt/CHN/R107/2003/G3P8 segment 4, complete sequence"		
KF371929.1	P8	VP4	"KF371929.1 |Human rotavirus A strain RVA/Human-wt/CHN/R1267/2006/G3P8 segment 4, complete sequence"		
KF371984.1	P8	VP4	"KF371984.1 |Human rotavirus A strain RVA/Human-wt/CHN/R1604/2011/G3P8 segment 4, complete sequence"		
KF726067.1	P6	VP4	"KF726067.1 |Human rotavirus A strain RVA/Human-wt/CHN/R1954/2013/G4P6 segment 4, complete sequence"		
KF371973.1	P8	VP4	"KF371973.1 |Human rotavirus A strain RVA/Human-wt/CHN/R303/2004/G3P8 segment 4, complete sequence"		
KF726056.1	P6	VP4	"KF726056.1 |Human rotavirus A strain RVA/Human-wt/CHN/R946/2006/G3P6 segment 4, complete sequence"		
KF371995.1	P8	VP4	"KF371995.1 |Human rotavirus A strain RVA/Human-wt/CHN/Y106/2004/G3P8 segment 4, complete sequence"		
KF372006.1	P8	VP4	"KF372006.1 |Human rotavirus A strain RVA/Human-wt/CHN/Z1557/2011/G3P8 segment 4, complete sequence"		
KF372017.1	P8	VP4	"KF372017.1 |Human rotavirus A strain RVA/Human-wt/CHN/Z1602/2012/G3P8 segment 4, complete sequence"		
OR453297.1	P8	VP4	"OR453297.1 |Human rotavirus A strain RVA/Human/CHN/20150577/2015/G9P8 segment 4, complete sequence"		
OR453294.1	P8	VP4	"OR453294.1 |Human rotavirus A strain RVA/Human/CHN/20180078/2018/G9P8 segment 4, complete sequence"		
OR453299.1	P8	VP4	"OR453299.1 |Human rotavirus A strain RVA/Human/CHN/20180200/2018/G9P8 segment 4, complete sequence"		
OR453300.1	P8	VP4	"OR453300.1 |Human rotavirus A strain RVA/Human/CHN/20180341/2018/G9P8 segment 4, complete sequence"		
OR453298.1	P8	VP4	"OR453298.1 |Human rotavirus A strain RVA/Human/CHN/20190046/2019/G9P8 segment 4, complete sequence"		
OR453296.1	P8	VP4	"OR453296.1 |Human rotavirus A strain RVA/Human/CHN/20200445/2020/G9P8 segment 4, complete sequence"		
OR453301.1	P8	VP4	"OR453301.1 |Human rotavirus A strain RVA/Human/CHN/20210124/2021/G9P8 segment 4, complete sequence"		
OR453302.1	P8	VP4	"OR453302.1 |Human rotavirus A strain RVA/Human/CHN/20210223/2021/G9P8 segment 4, complete sequence"		
OR453295.1	P8	VP4	"OR453295.1 |Human rotavirus A strain RVA/Human/CHN/20210265/2021/G9P8 segment 4, complete sequence"		
OR453303.1	P8	VP4	"OR453303.1 |Human rotavirus A strain RVA/Human/CHN/20220921/2022/G9P8 segment 4, complete sequence"		
OR453293.1	P8	VP4	"OR453293.1 |Human rotavirus A strain RVA/Human/CHN/20220996/2022/G9P8 segment 4, complete sequence"		
OR453291.1	P8	VP4	"OR453291.1 |Human rotavirus A strain RVA/Human/CHN/226411002/2022/G9P8 segment 4, complete sequence"		
OR453292.1	P8	VP4	"OR453292.1 |Human rotavirus A strain RVA/Human/CHN/226421001/2022/G9P8 segment 4, complete sequence"		
OR453290.1	P8	VP4	"OR453290.1 |Human rotavirus A strain RVA/Human/CHN/226421013/2022/G9P8 segment 4, complete sequence"		
JF460826.1	P6	VP4	"JF460826.1 |Rotavirus A Hu/BEL/F01322/2009/G3P6 segment 4, complete sequence"		
JF460837.1	P6	VP4	"JF460837.1 |Rotavirus A Hu/BEL/F01498/2009/G3P6 segment 4, complete sequence"		
JF460815.1	P6	VP4	"JF460815.1 |Rotavirus A Hu/USA/06-242/2006/G2P6 segment 4, complete sequence"		
HQ650119.1	P4	VP4	"HQ650119.1 |Rotavirus A RVA/Human-tc/USA/DS-1/1976/G2P4 segment 4, complete sequence"		
JX195066.1	P8	VP4	"JX195066.1 |Rotavirus A RVA/Human-wt/ITA/AV21/2010/G9P8 segment 4, complete sequence"		
JX195077.1	P8	VP4	"JX195077.1 |Rotavirus A RVA/Human-wt/ITA/AV28/2010/G9P8 segment 4, complete sequence"		
