accession	serotype	segment	Organism_Name	Host	Collection_Date
WORR3LEQ0R9.1	C2	VP2	"WORR3LEQ0R9.1 |C2-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment VP2, complete sequence"		
HYZZKWEXKPL.1	C2	VP2	"HYZZKWEXKPL.1 |C2-RVA/Human-wt/BEL/B10925/1997/G6P14 segment VP2, complete sequence"		
VCSPLSCPCZH.1	C2	VP2	"VCSPLSCPCZH.1 |C2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment VP2, complete sequence"		
SH3YOY197CI.1	C2	VP2	"SH3YOY197CI.1 |C2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment VP2, complete sequence"		
XK0E8NV4IB8.1	C2	VP2	"XK0E8NV4IB8.1 |C2-RVA/Human-tc/IND/69M/1980/G8P10 segment VP2, complete sequence"		
B9NWVBIUZ4X.1	C2	VP2	"B9NWVBIUZ4X.1 |C2-RVA/Human-tc/GBR/A64/1987/G10P14 segment VP2, complete sequence"		
WAFRPFODFR0.1	C2	VP2	"WAFRPFODFR0.1 |C2-RVA/Human-tc/PHL/L26/1987/G12P4 segment VP2, complete sequence"		
BKS8QQWO8D2.1	C2	VP2	"BKS8QQWO8D2.1 |C2-RVA/Human-wt/BGD/N26/2002/G12P6 segment VP2, complete sequence"		
JOZNFKKCAG6.1	C2	VP2	"JOZNFKKCAG6.1 |C2-RVA/Human-wt/BGD/RV176/2000/G12P6 segment VP2, complete sequence"		
P0BOTM39SMI.1	C2	VP2	"P0BOTM39SMI.1 |C2-RVA/Human-wt/BGD/RV161/2000/G12P6 segment VP2, complete sequence"		
BXENLTY7J91.1	C2	VP2	"BXENLTY7J91.1 |C2-RVA/Cow-tc/FRA/RF/1982/G6P1 segment VP2, complete sequence"		
GD30OP8G5VW.1	C2	VP2	"GD30OP8G5VW.1 |C2-RVA/Cow-tc/GBR/UK/1973/G6P5 segment VP2, complete sequence"		
VM3TV5BM7RA.1	C2	VP2	"VM3TV5BM7RA.1 |C2-RVA/Cow-tc/USA/WC3/1981/G6P5 segment VP2, complete sequence"		
ZRNR3CLGFUZ.1	C2	VP2	"ZRNR3CLGFUZ.1 |C2-RVA/Pig-tc/VEN/A131/1988/G3P7 segment VP2, complete sequence"		
TZE7OKPNKFS.1	C2	VP2	"TZE7OKPNKFS.1 |C2-RVA/Pig-tc/VEN/A253/1988/G11P7 segment VP2, complete sequence"		
Y6P7PX7LOL7.1	C3	VP2	"Y6P7PX7LOL7.1 |C3-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment VP2, complete sequence"		
9OPNB3DT4N6.1	C3	VP2	"9OPNB3DT4N6.1 |C3-RVA/Human-tc/THA/T152/1998/G12P9 segment VP2, complete sequence"		
BU9IU27DB32.1	C4	VP2	"BU9IU27DB32.1 |C4-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment VP2, complete sequence"		
729QL178B3C.1	C5	VP2	"729QL178B3C.1 |C5-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment VP2, complete sequence"		
Z4VANAQU3RZ.1	C6	VP2	"Z4VANAQU3RZ.1 |C6-RVA/Chicken-tc/DEU/02V0002G3/2002/G19P30 segment VP2, complete sequence"		
