accession	serotype	segment	Organism_Name	Host	Collection_Date
Z91CQ9H689D.1	T2	NSP3	"Z91CQ9H689D.1 |T2-RVA/Human-tc/PHL/L26/1987/G12P4 segment NSP3, complete sequence"		
4RVJHJXM1LV.1	T2	NSP3	"4RVJHJXM1LV.1 |T2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment NSP3, complete sequence"		
S1MTVEUZIZ5.1	T2	NSP3	"S1MTVEUZIZ5.1 |T2-RVA/Human-tc/IND/69M/1980/G8P10 segment NSP3, complete sequence"		
FD793ID78EK.1	T2	NSP3	"FD793ID78EK.1 |T2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment NSP3, complete sequence"		
U7QM6OUM8TH.1	T2	NSP3	"U7QM6OUM8TH.1 |T2-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment NSP3, complete sequence"		
OY62O3MGIAV.1	T2	NSP3	"OY62O3MGIAV.1 |T2-RVA/Human-wt/BGD/N26/2002/G12P6 segment NSP3, complete sequence"		
ZET2ZHJ4H9V.1	T2	NSP3	"ZET2ZHJ4H9V.1 |T2-RVA/Human-wt/BGD/RV176/2000/G12P6 segment NSP3, complete sequence"		
8EC66RJ9VNY.1	T2	NSP3	"8EC66RJ9VNY.1 |T2-RVA/Human-wt/BGD/RV161/2000/G12P6 segment NSP3, complete sequence"		
QK3R5L2SFGJ.1	T2	NSP3	"QK3R5L2SFGJ.1 |T2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment NSP3, complete sequence"		
GY92ZEA34LB.1	T2	NSP3	"GY92ZEA34LB.1 |T2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment NSP3, complete sequence"		
XPGX17G1328.1	T3	NSP3	"XPGX17G1328.1 |T3-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment NSP3, complete sequence"		
0SHTIC6EKEC.1	T3	NSP3	"0SHTIC6EKEC.1 |T3-RVA/Simian-tc/USA/RRV/1975/G3P3 segment NSP3, complete sequence"		
JL2O2GDPIQ3.1	T3	NSP3	"JL2O2GDPIQ3.1 |T3-RVA/Human-tc/THA/T152/1998/G12P9 segment NSP3, complete sequence"		
CCR40YBHLKP.1	T4	NSP3	"CCR40YBHLKP.1 |T4-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment NSP3, complete sequence"		
FG5DIFFR1PA.1	T5	NSP3	"FG5DIFFR1PA.1 |T5-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment NSP3, complete sequence"		
XNP3YFG1O1M.1	T6	NSP3	"XNP3YFG1O1M.1 |T6-RVA/Cow-tc/USA/WC3/1981/G6P5 segment NSP3, complete sequence"		
OOLDONEA20J.1	T6	NSP3	"OOLDONEA20J.1 |T6-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment NSP3, complete sequence"		
2DKIZDC9UR0.1	T6	NSP3	"2DKIZDC9UR0.1 |T6-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment NSP3, complete sequence"		
TJCFV1B04N1.1	T6	NSP3	"TJCFV1B04N1.1 |T6-RVA/Human-wt/HUN/BP1062/2004/G8P14 segment NSP3, complete sequence"		
K92ZN2MDZJ3.1	T6	NSP3	"K92ZN2MDZJ3.1 |T6-RVA/Human-wt/HUN/BP1879/2003/G6P14 segment NSP3, complete sequence"		
OANR9OJ8M9J.1	T6	NSP3	"OANR9OJ8M9J.1 |T6-RVA/Human-wt/BEL/B4106/2000/G3P14 segment NSP3, complete sequence"		
HBNCUN4NY0C.1	T6	NSP3	"HBNCUN4NY0C.1 |T6-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment NSP3, complete sequence"		
74G1YWXSPIA.1	T6	NSP3	"74G1YWXSPIA.1 |T6-RVA/Human-tc/AUS/MG6/1993/G6P14 segment NSP3, complete sequence"		
IB9QMCP210J.1	T6	NSP3	"IB9QMCP210J.1 |T6-RVA/Human-tc/ITA/PA169/1988/G6P14 segment NSP3, complete sequence"		
3O690DBQV2C.1	T6	NSP3	"3O690DBQV2C.1 |T6-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment NSP3, complete sequence"		
T1JI33CXQP4.1	T6	NSP3	"T1JI33CXQP4.1 |T6-RVA/Human-wt/BEL/B10925/1997/G6P14 segment NSP3, complete sequence"		
FIO1ZVO4TTC.1	T6	NSP3	"FIO1ZVO4TTC.1 |T6-RVA/Human-tc/GBR/A64/1987/G10P14 segment NSP3, complete sequence"		
SAHDAGYUNR9.1	T6	NSP3	"SAHDAGYUNR9.1 |T6-RVA/Cow-tc/FRA/RF/1982/G6P1 segment NSP3, complete sequence"		
UQG2U6LYL19.1	T7	NSP3	"UQG2U6LYL19.1 |T7-RVA/Cow-tc/GBR/UK/1973/G6P5 segment NSP3, complete sequence"		
35UXNG4ABEQ.1	T8	NSP3	"35UXNG4ABEQ.1 |T8-RVA/Chicken-tc/DEU/02V0002G3/2002/G19P30 segment NSP3, complete sequence"		
ON988159.1	T28	NSP3	"ON988159.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS11-0893/2010/G42P[58] segment NSP3, complete sequence"	Sorex araneus	2010
MZ054770.1	T26	NSP3	"MZ054770.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS14-269/2014/G39P[55] segment 7 segment NSP3, complete sequence"	Sorex araneus	2014
LC638704.2	T27	NSP3	"LC638704.2 |Rotavirus A RVA/MultimammateMouse-wt/ZMB/MpR12/2012/G41P[57] NSP3 gene for non-structural protein 3, complete cds"	Mastomys natalensis	2012
MN551606.1	T23	NSP3	"MN551606.1 |Rotavirus A isolate RVA/Bat-wt/CRC/KCR10-93/2010/G20P47 NSP3 (NSP3) gene, complete cds"	Carollia perspicillata	2010
MH285843.1	T22	NSP3	"MH285843.1 |Bat rotavirus isolate BatRVA/KEN/BATp39/Rousettus aegyptiacus/2015 NSP3 (NSP3) gene, complete cds"	Rousettus aegyptiacus	2015-03
LC208553.1	T21	NSP3	"LC208553.1 |Rotavirus A RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17] NSP3 gene for non-structural protein NSP3, complete cds, strain: RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17]"	Procyon lotor	2011-08
KX257413.1	T15	NSP3	"KX257413.1 |Rotavirus A strain RVA/Human-wt/SUR/2014735512/2013/G20P[28] segment 7 segment NSP3, complete sequence"	Homo sapiens	2013-02-15
KX814939.1	T20	NSP3	"KX814939.1 |Rotavirus A isolate RVA/Bat-wt/CHN/GLRL1/2005/G33P[48] segment NSP3, complete sequence"	Rousettus leschenaultii	2005
KX268762.1	T17	NSP3	"KX268762.1 |Rotavirus A isolate Bat-wt/CMR/BatLi09/2014/G30P42_T17 segment NSP3, complete sequence"	Eidolon helvum	2014-04
KU243457.1	T19	NSP3	"KU243457.1 |Rotavirus G28 strain RVA/Shrew/CHN/LW9/2013 NSP3 gene, partial cds"	Homo sapiens	2013
LC088226.1	T16	NSP3	"LC088226.1 |Rotavirus A NSP3 gene for NSP3 protein, complete cds, strain: RVA/CommonGull-wt/JPN/Ho374/2013/G28P[39]"	Larus canus	2013
AB971768.1	T13	NSP3	"AB971768.1 |Rotavirus A NSP3 gene for non-structural protein 3, complete cds, strain: RVA/SugarGlider-tc/JPN/SG385/2012/G27P[36]"	Petaurus breviceps	2012-02-15
KJ879456.1	T14	NSP3	"KJ879456.1 |Rotavirus A/Rat-wt/GER/KS-11-573/2011/G3P[3] segment NSP3, complete sequence"	Rattus norvegicus	2010
JF712563.1	T12	NSP3	"JF712563.1 |Rotavirus A strain RVA/Horse-tc/GBR/L338/1991/G13P[18] segment NSP3, complete sequence"	Equus caballus	1991
GU983678.1	T11	NSP3	"GU983678.1 |Rotavirus A bat/4852/Kenya/2007 NSP3 gene, partial cds"	Eidolon helvum	2007
GQ479953.1	T10	NSP3	"GQ479953.1 |Murine rotavirus strain ETD_822 segment NSP3, complete sequence"	NA	2007-01
AB513838.1	T9	NSP3	"AB513838.1 |Bovine rotavirus A NSP3 gene for nonstructural protein NSP3, complete cds, strain: AzuK-1"	NA	2006-12
FJ169859.1	T8	NSP3	"FJ169859.1 |Rotavirus A strain 02V0002G3 segment 7, complete sequence"	Gallus gallus	2002
