accession	serotype	segment	Organism_Name	Host	Collection_Date
12K5VL6OM4A.1	A2	NSP1	"12K5VL6OM4A.1 |A2-RVA/Human-tc/PHL/L26/1987/G12P4 segment NSP1, complete sequence"		
1CM0GSO1MH6.1	A2	NSP1	"1CM0GSO1MH6.1 |A2-RVA/Human-wt/BGD/N26/2002/G12P6 segment NSP1, complete sequence"		
W17Q7Q3XNZ0.1	A2	NSP1	"W17Q7Q3XNZ0.1 |A2-RVA/Human-wt/BGD/RV176/2000/G12P6 segment NSP1, complete sequence"		
GORDXMHXZ5Z.1	A2	NSP1	"GORDXMHXZ5Z.1 |A2-RVA/Human-wt/BGD/RV161/2000/G12P6 segment NSP1, complete sequence"		
XN6U2XZ5OLW.1	A2	NSP1	"XN6U2XZ5OLW.1 |A2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment NSP1, complete sequence"		
FKF523WPT43.1	A2	NSP1	"FKF523WPT43.1 |A2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment NSP1, complete sequence"		
V5F1M2MEVV6.1	A2	NSP1	"V5F1M2MEVV6.1 |A2-RVA/Human-tc/IND/69M/1980/G8P10 segment NSP1, complete sequence"		
NCVGREBGNRV.1	A2	NSP1	"NCVGREBGNRV.1 |A2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment NSP1, complete sequence"		
U147HA55FPS.1	A2	NSP1	"U147HA55FPS.1 |A2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment NSP1, complete sequence"		
L9EM5ZBMJVE.1	A2	NSP1	"L9EM5ZBMJVE.1 |A2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment NSP1, complete sequence"		
NPNWCJXILL5.1	A3	NSP1	"NPNWCJXILL5.1 |A3-RVA/Human-tc/USA/Se584/1998/G6P9 segment NSP1, complete sequence"		
K5UPWEAS16D.1	A3	NSP1	"K5UPWEAS16D.1 |A3-RVA/Human-tc/ITA/PA169/1988/G6P14 segment NSP1, complete sequence"		
BTOTATHB2A4.1	A3	NSP1	"BTOTATHB2A4.1 |A3-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment NSP1, complete sequence"		
RM97LNQA9WV.1	A3	NSP1	"RM97LNQA9WV.1 |A3-RVA/Human-wt/BEL/B10925/1997/G6P14 segment NSP1, complete sequence"		
GEG04D0CDWG.1	A3	NSP1	"GEG04D0CDWG.1 |A3-RVA/Human-tc/GBR/A64/1987/G10P14 segment NSP1, complete sequence"		
M7IZJMTZ3UP.1	A3	NSP1	"M7IZJMTZ3UP.1 |A3-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment NSP1, complete sequence"		
LM5WX86325M.1	A3	NSP1	"LM5WX86325M.1 |A3-RVA/Cow-tc/FRA/RF/1982/G6P1 segment NSP1, complete sequence"		
W389Y4OJOZH.1	A3	NSP1	"W389Y4OJOZH.1 |A3-RVA/Cow-tc/GBR/UK/1973/G6P5 segment NSP1, complete sequence"		
BFRNGI8QYRD.1	A3	NSP1	"BFRNGI8QYRD.1 |A3-RVA/Cow-tc/USA/WC3/1981/G6P5 segment NSP1, complete sequence"		
RGD4ZP6NU0U.1	A4	NSP1	"RGD4ZP6NU0U.1 |A4-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment NSP1, complete sequence"		
ILH41APZA4Q.1	A5	NSP1	"ILH41APZA4Q.1 |A5-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment NSP1, complete sequence"		
HB7LZ0OVWNG.1	A6	NSP1	"HB7LZ0OVWNG.1 |A6-RVA/Horse-tc/GBR/L338/1991/G13P18 segment NSP1, complete sequence"		
5U7ZD6CWM3Z.1	A7	NSP1	"5U7ZD6CWM3Z.1 |A7-RVA/Mouse-tc/XXX/EHP/1981/G16P20 segment NSP1, complete sequence"		
TYUNZNK9H90.1	A7	NSP1	"TYUNZNK9H90.1 |A7-RVA/Mouse-tc/USA/EW/XXXX/G16P16 segment NSP1, complete sequence"		
55HTTAAD0U9.1	A8	NSP1	"55HTTAAD0U9.1 |A8-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment NSP1, complete sequence"		
3ISX5DISH6I.1	A8	NSP1	"3ISX5DISH6I.1 |A8-RVA/Pig-tc/MEX/YM/1983/G11P7 segment NSP1, complete sequence"		
NUARGQF0SIR.1	A9	NSP1	"NUARGQF0SIR.1 |A9-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment NSP1, complete sequence"		
0DWDSICRBAD.1	A9	NSP1	"0DWDSICRBAD.1 |A9-RVA/Human-wt/BEL/B4106/2000/G3P14 segment NSP1, complete sequence"		
9CUCBFZOSS1.1	A10	NSP1	"9CUCBFZOSS1.1 |A10-RVA/Horse-tc/USA/FI-14/1981/G3P12 segment NSP1, complete sequence"		
6XZDTL0DM4Q.1	A10	NSP1	"6XZDTL0DM4Q.1 |A10-RVA/HORSE-TC/USA/FI23/1981/G14P12 segment NSP1, complete sequence"		
4JNHCCT1KO7.1	A11	NSP1	"4JNHCCT1KO7.1 |A11-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment NSP1, complete sequence"		
55NR8OHJ85R.1	A11	NSP1	"55NR8OHJ85R.1 |A11-RVA/Human-tc/AUS/MG6/1993/G6P14 segment NSP1, complete sequence"		
OCNOIBDMA4L.1	A11	NSP1	"OCNOIBDMA4L.1 |A11-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment NSP1, complete sequence"		
XUCVAPJQXV5.1	A12	NSP1	"XUCVAPJQXV5.1 |A12-RVA/Human-tc/THA/T152/1998/G12P9 segment NSP1, complete sequence"		
QWKXB3H5R43.1	A13	NSP1	"QWKXB3H5R43.1 |A13-RVA/Cow-tc/USA/B223/XXXX/G10P11 segment NSP1, complete sequence"		
W76S6V3K748.1	A14	NSP1	"W76S6V3K748.1 |A14-RVA/Cow-tc/THA/A5-13/XXXX/G8P1 segment NSP1, complete sequence"		
TD4SY2V27LW.1	A15	NSP1	"TD4SY2V27LW.1 |A15-RVA/Human-tc/ITA/PA260-97/1997/G3P3 segment NSP1, complete sequence"		
ON988157.1	A39	NSP1	"ON988157.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS11-0893/2010/G42P[58] segment NSP1, complete sequence"	Sorex araneus	2010
OK087518.1	A35	NSP1	"OK087518.1 |Rotavirus A isolate RVA/Bat-wt/NGA/59/2011/GXP _A35 segment NSP1, complete sequence"	Rhinolophus landeri	2011-05-03
MZ054768.1	A37	NSP1	"MZ054768.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS14-269/2014/G39P[55] segment 5 segment NSP1, complete sequence"	Sorex araneus	2014
LC638702.2	A38	NSP1	"LC638702.2 |Rotavirus A RVA/MultimammateMouse-wt/ZMB/MpR12/2012/G41P[57] NSP1 gene for non-structural protein 1, complete cds"	Mastomys natalensis	2012
MN528081.1	A36	NSP1	"MN528081.1 |Rotavirus A isolate RVA/Bat-wt/GAB/GKS-929/2009/G3P[2] NSP1 (NSP1) gene, complete cds"	Macronycteris gigas	2009
MN551604.1	A32	NSP1	"MN551604.1 |Rotavirus A isolate RVA/Bat-wt/CRC/KCR10-93/2010/G20P47 NSP1 (NSP1) gene, complete cds"	Carollia perspicillata	2010
MH285841.1	A31	NSP1	"MH285841.1 |Bat rotavirus isolate BatRVA/KEN/BATp39/Rousettus aegyptiacus/2015 NSP1 (NSP1) gene, complete cds"	Rousettus aegyptiacus	2015-03
LC208551.1	A30	NSP1	"LC208551.1 |Rotavirus A RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17] NSP1 gene for non-structural protein NSP1, complete cds, strain: RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17]"	Procyon lotor	2011-08
KX257415.1	A23	NSP1	"KX257415.1 |Rotavirus A strain RVA/Human-wt/SUR/2014735512/2013/G20P[28] segment 5 segment NSP1, complete sequence"	Homo sapiens	2013-02-15
KX814927.1	A29	NSP1	"KX814927.1 |Rotavirus A isolate RVA/Bat_wt/CHN/BSTM70/2015/G3P[3] segment NSP1, complete sequence"	Taphozous melanopogon	2015
KT878998.1	A17	NSP1	"KT878998.1 |Rotavirus A strain RVA/alpaca-wt/PER/356/2010/G3P[14] segment 5, partial sequence"	Vicugna pacos	2010
KX268760.1	A25	NSP1	"KX268760.1 |Rotavirus A isolate Bat-wt/CMR/BatLi09/2014/G30P42_A25 segment NSP1, complete sequence"	Eidolon helvum	2014-04
KX268782.1	A26	NSP1	"KX268782.1 |Rotavirus A isolate Bat-wt/CMR/BatLy03/2014/G25P43_A26 segment NSP1, complete sequence"	Eidolon helvum	2013-12
KU243377.1	A28	NSP1	"KU243377.1 |Rotavirus G28 strain RVA/Shrew/CHN/LW9/2013 NSP1 gene, partial cds"	Homo sapiens	2013
LC088224.1	A24	NSP1	"LC088224.1 |Rotavirus A NSP1 gene for NSP1 protein, complete cds, strain: RVA/CommonGull-wt/JPN/Ho374/2013/G28P[39]"	Larus canus	2013
LC088102.1	A21	NSP1	"LC088102.1 |Rotavirus A NSP1 gene for NSP1 protein, complete cds, strain: RVA/VelvetScoter-tc/JPN/RK1/1989/G18P[17]"	Melanitta fusca	1989
AB971766.1	A20	NSP1	"AB971766.1 |Rotavirus A NSP1 gene for non-structural protein 1, complete cds, strain: RVA/SugarGlider-tc/JPN/SG385/2012/G27P[36]"	Petaurus breviceps	2012-02-15
KJ879454.1	A22	NSP1	"KJ879454.1 |Rotavirus A/Rat-wt/GER/KS-11-573/2011/G3P[3] segment NSP1, complete sequence"	Rattus norvegicus	2010
KF185099.1	A19	NSP1	"KF185099.1 |Human rotavirus A strain RVA/Human-wt/BRA/QUI-35-F5/2010/G3P[9] segment 5 non-structural protein segment NSP1, complete sequence"	Homo sapiens	2012-07-21
KC257086.1	A18	NSP1	"KC257086.1 |Rotavirus A strain RVA/Camel-wt/SDN/MRC-DPRU447/2002/G8P[11] segment 5 NSP1 gene, partial cds"	Camelus dromedarius	2002
HQ661118.1	A15	NSP1	"HQ661118.1 |Rotavirus A strain RVA/Human-tc/ITA/PA260-97/1997/G3P[3] segment NSP1, complete sequence"	Homo sapiens	1997
FJ169857.1	A16	NSP1	"FJ169857.1 |Rotavirus A strain 02V0002G3 segment 5, complete sequence"	Gallus gallus	2002
